INFO:__main__:Loading input file: data/processed/test_input_281_sites.csv
INFO:__main__:Starting parallel processing with 25 workers...

================================================================================
UNIVERSAL WEBSITE SCRAPER
================================================================================
Input file:        data/processed/test_input_281_sites.csv
Output file:       data/processed/test_results_quick.csv
Total URLs:        281
Mode:              quick
Workers:           25

Configuration:
  Check static:    True
  Extract emails:  False
  Extract phones:  False
  Scrape mode:     single
  AI analysis:     False

Estimated time:    0.2 min (14.1 sec)
================================================================================

[160/281] 56.9% | ETA: 37s | Speed: 3.3 items/sec | https://www.airtechofhouston.com/?utm_source=googl - success
[161/281] 57.3% | ETA: 36s | Speed: 3.3 items/sec | http://www.acecomfort-tx.com/                      - success
[162/281] 57.7% | ETA: 36s | Speed: 3.3 items/sec | http://www.airteamltd.com/                         - success
[163/281] 58.0% | ETA: 36s | Speed: 3.3 items/sec | https://www.royalairhouston.com/                   - dynamic
[164/281] 58.4% | ETA: 35s | Speed: 3.3 items/sec | https://radiantplumbing.com/austin/?utm_source=goo - http_error_403
[165/281] 58.7% | ETA: 35s | Speed: 3.3 items/sec | http://www.tigerairtx.com/?utm_source=google&utm_m - success
[166/281] 59.1% | ETA: 34s | Speed: 3.3 items/sec | https://allstarairtexas.com/                       - success
[167/281] 59.4% | ETA: 35s | Speed: 3.3 items/sec | http://austinairconditioning.com/?utm_source=gmb&u - http_error_403
[168/281] 59.8% | ETA: 35s | Speed: 3.3 items/sec | https://www.rescueairtx.com/                       - success
[169/281] 60.1% | ETA: 34s | Speed: 3.3 items/sec | https://www.texasairzone.com/?utm_source=google&ut - http_error_202
[170/281] 60.5% | ETA: 34s | Speed: 3.3 items/sec | https://aadheatingairconditioning.xyz/             - success
[171/281] 60.9% | ETA: 34s | Speed: 3.3 items/sec | https://www.metroacs.com/                          - success
[172/281] 61.2% | ETA: 33s | Speed: 3.3 items/sec | https://www.q1es.com/                              - success
[173/281] 61.6% | ETA: 33s | Speed: 3.3 items/sec | https://www.aireservdallas.com/                    - success
[174/281] 61.9% | ETA: 32s | Speed: 3.3 items/sec | https://www.askmoss.com/?utm_source=google&utm_med - success
[175/281] 62.3% | ETA: 32s | Speed: 3.3 items/sec | http://www.facebook.com/apexheatandac              - http_error_400
[176/281] 62.6% | ETA: 31s | Speed: 3.3 items/sec | https://www.servewayhvac.com/?utm_source=google&ut - dynamic
[177/281] 63.0% | ETA: 32s | Speed: 3.3 items/sec | https://www.dallasplumbing.com/dallas/?utm_source= - success
[178/281] 63.3% | ETA: 31s | Speed: 3.3 items/sec | https://www.punbarair.com/                         - success
[179/281] 63.7% | ETA: 31s | Speed: 3.3 items/sec | http://scheatingair.com/                           - success
[180/281] 64.1% | ETA: 30s | Speed: 3.3 items/sec | https://hjac.com/?utm_campaign=gmb                 - success
[181/281] 64.4% | ETA: 30s | Speed: 3.3 items/sec | http://www.austinrefrigeration.us/                 - success
[182/281] 64.8% | ETA: 30s | Speed: 3.3 items/sec | https://atlasacrepair.com/                         - success
[183/281] 65.1% | ETA: 29s | Speed: 3.3 items/sec | https://www.dallasheatingac.com/?utm_source=GMB&ut - dynamic
[184/281] 65.5% | ETA: 29s | Speed: 3.3 items/sec | https://www.onehourairdallas.com/?utm_source=organ - dynamic
[185/281] 65.8% | ETA: 29s | Speed: 3.3 items/sec | http://www.unitedstateshomeservices.com/           - success
[186/281] 66.2% | ETA: 29s | Speed: 3.3 items/sec | https://www.evenaire.biz/?utm_source=google&utm_me - dynamic
[187/281] 66.5% | ETA: 28s | Speed: 3.3 items/sec | http://hcprohvac.com/                              - success
[188/281] 66.9% | ETA: 28s | Speed: 3.3 items/sec | https://www.poleofcoldac.com/                      - success
[189/281] 67.3% | ETA: 28s | Speed: 3.3 items/sec | https://www.abacusplumbing.com/?utm_campaign=gmb_a - success
[190/281] 67.6% | ETA: 27s | Speed: 3.3 items/sec | https://kassa-kool.com/                            - success
[191/281] 68.0% | ETA: 27s | Speed: 3.4 items/sec | https://greencollaroperations.com/?utm_campaign=gm - dynamic
[192/281] 68.3% | ETA: 27s | Speed: 3.4 items/sec | https://www.airproaustin.com/                      - dynamic
[193/281] 68.7% | ETA: 26s | Speed: 3.4 items/sec | https://www.idealaircare.com/                      - dynamic
[194/281] 69.0% | ETA: 26s | Speed: 3.4 items/sec | https://www.abchomeandcommercial.com/austin/hvac-r - success
[195/281] 69.4% | ETA: 25s | Speed: 3.4 items/sec | https://www.austinacexpress.com/?utm_source=GMB&ut - success
[196/281] 69.8% | ETA: 25s | Speed: 3.4 items/sec | http://masters-hvac.com/                           - success
[197/281] 70.1% | ETA: 25s | Speed: 3.4 items/sec | https://bigacnheating.com/                         - connection_error
[198/281] 70.5% | ETA: 25s | Speed: 3.4 items/sec | https://indoorweatherpros.com/                     - success
[199/281] 70.8% | ETA: 24s | Speed: 3.4 items/sec | http://www.castilloserviceforac.com/               - success
[200/281] 71.2% | ETA: 24s | Speed: 3.4 items/sec | https://greenleafhvac.net/?utm_source=GBP&utm_medi - http_error_403
[201/281] 71.5% | ETA: 24s | Speed: 3.4 items/sec | https://callsalt.com/?utm_source=GBP&utm_medium=or - dynamic
[202/281] 71.9% | ETA: 23s | Speed: 3.4 items/sec | https://servicewizardac.com/?utm_source=google&utm - success
[203/281] 72.2% | ETA: 23s | Speed: 3.4 items/sec | https://allamericanacandheat.com/                  - success
[204/281] 72.6% | ETA: 23s | Speed: 3.4 items/sec | https://www.coolatmosphereheatingandair.com/       - http_error_403
[205/281] 73.0% | ETA: 22s | Speed: 3.4 items/sec | https://hvac-austin.com/                           - success
[206/281] 73.3% | ETA: 22s | Speed: 3.4 items/sec | https://localair.biz/?utm_source=google&utm_medium - success
[207/281] 73.7% | ETA: 22s | Speed: 3.4 items/sec | http://www.cozydair.com/                           - success
[208/281] 74.0% | ETA: 21s | Speed: 3.4 items/sec | http://www.qualitylivingservices.com/              - success
